date,open,high,low,close,volume,oi
2024-06-27,71.36,72.10,70.74,70.99,24577,358346
2024-06-28,70.82,72.72,70.10,71.79,24003,357843
2024-07-01,71.73,74.00,71.45,72.37,22386,357779
2024-07-02,72.62,75.35,71.84,74.99,31908,358571
2024-07-03,75.02,76.27,74.31,75.08,33451,359447
2024-07-04,75.07,75.48,74.13,74.39,24752,359778
2024-07-05,74.39,75.56,74.26,74.68,16441,359688
2024-07-08,74.91,76.17,73.12,73.31,30242,361404
2024-07-09,73.30,73.52,72.43,72.88,20539,362325
2024-07-10,72.98,73.75,72.18,72.28,20132,363609
2024-07-11,72.47,73.15,71.92,72.69,22021,363359
2024-07-12,72.84,73.85,72.01,73.51,19468,362207
2024-07-15,73.90,73.90,71.41,71.96,27595,363566
2024-07-16,72.17,72.62,71.48,72.34,21326,363416
2024-07-17,72.33,72.45,70.73,70.86,26377,366585
2024-07-18,70.75,71.30,70.33,70.76,20688,367825
2024-07-19,70.67,71.81,70.04,70.62,17152,368656
2024-07-22,70.60,71.11,68.56,69.04,29912,372152
2024-07-23,69.05,70.56,68.58,70.05,22544,372909
2024-07-24,70.11,73.36,69.87,72.73,32784,372504
2024-07-25,73.23,73.26,70.92,71.13,26988,372183
2024-07-26,71.33,72.58,71.11,72.19,19855,367607
2024-07-29,72.02,73.22,71.52,73.01,21029,368552
2024-07-30,73.21,73.62,71.79,72.96,25767,370149
2024-07-31,73.04,73.82,72.35,73.53,26344,368504
2024-08-01,73.87,75.82,73.15,75.50,33767,366962
2024-08-02,75.50,75.63,73.75,74.90,26393,364941
2024-08-05,74.21,74.21,72.17,73.05,26971,362639
2024-08-06,73.34,74.71,73.34,74.28,22124,362409
2024-08-07,74.28,75.75,73.42,74.89,23495,362445
2024-08-08,75.51,76.05,74.04,75.38,25818,362435
2024-08-09,75.32,76.18,73.93,74.46,20312,362925
2024-08-12,74.40,78.45,73.78,76.97,39297,362516
2024-08-13,76.46,77.38,75.46,75.61,25819,362022
2024-08-14,75.67,76.76,75.58,76.19,15753,364817
2024-08-15,76.30,76.55,74.80,76.43,22757,364324
2024-08-16,76.51,77.30,75.82,76.84,14659,364313
2024-08-19,76.82,78.12,76.33,77.46,20346,364945
2024-08-20,77.26,79.07,76.97,77.39,29995,363977
2024-08-21,77.61,78.15,76.00,76.46,20045,363999
2024-08-22,76.74,76.96,75.49,75.89,22100,367127
2024-08-23,75.83,76.69,74.94,75.45,16664,367336
2024-08-26,75.42,76.07,74.39,74.81,17218,368185
2024-08-27,74.99,76.25,74.56,75.81,20880,371185
2024-08-28,75.83,76.53,74.67,75.09,22665,372699
2024-08-29,74.97,75.55,74.40,75.38,20726,372277
2024-08-30,75.41,75.77,74.28,74.62,20557,370621
2024-09-02,74.35,75.31,73.88,74.75,24524,370115
2024-09-03,74.73,74.76,72.42,72.48,34962,374203
2024-09-04,72.42,72.79,71.07,71.32,28038,373027
2024-09-05,71.11,72.00,70.27,70.52,33738,372667
2024-09-06,70.42,72.06,70.36,70.82,33392,368659
2024-09-09,70.82,71.77,70.38,70.84,24486,369933
2024-09-10,70.59,71.50,69.08,69.24,34476,371505
2024-09-11,69.46,70.85,69.03,70.72,31441,372897
2024-09-12,70.40,70.75,69.43,69.77,24047,376051
2024-09-13,69.57,70.26,68.92,69.31,25956,378833
2024-09-16,69.17,69.29,67.47,67.53,37405,381133
2024-09-17,67.52,69.48,66.77,68.66,33428,380589
2024-09-18,68.81,69.20,67.53,68.02,22574,381654
2024-09-19,68.25,69.74,66.71,67.14,49397,386025
2024-09-20,67.82,68.47,67.20,67.71,24427,385967
2024-09-23,68.02,69.04,67.66,68.42,27180,388015
2024-09-24,68.53,69.25,67.85,68.19,31132,389549
2024-09-25,68.60,69.91,67.97,69.56,33931,392421
2024-09-26,69.57,71.07,68.66,70.84,31100,396747
2024-09-27,70.32,70.78,69.60,70.65,21369,396531
2024-09-30,70.78,71.29,69.45,69.88,25803,398090
2024-10-01,69.55,69.55,67.07,67.93,48305,405300
2024-10-02,68.22,69.36,66.86,66.92,35784,412005
2024-10-03,66.88,67.28,66.33,67.08,23528,413145
2024-10-04,66.36,66.89,65.73,66.37,25357,414837
2024-10-07,65.84,66.82,64.38,66.08,61028,393040
2024-10-08,66.24,66.24,64.39,64.61,31756,393311
2024-10-09,64.51,67.03,64.27,66.33,36106,392335
2024-10-10,66.84,69.53,66.36,69.32,30189,389537
2024-10-11,69.22,69.41,68.07,68.94,25050,386382
2024-10-14,69.07,70.50,68.17,70.29,23329,386732
2024-10-15,69.73,69.91,68.49,69.41,24997,385968
2024-10-16,69.16,69.95,67.12,67.35,28445,386277
2024-10-17,67.35,67.96,66.95,67.30,20512,386770
2024-10-18,67.32,67.79,66.54,66.60,21055,387564
2024-10-21,66.77,67.27,65.68,66.08,23678,389463
2024-10-22,66.22,66.88,65.61,66.57,26357,391398
2024-10-23,66.67,69.68,66.03,69.21,30671,389968
2024-10-24,69.27,71.89,69.07,70.95,42143,389085
2024-10-25,70.93,71.68,70.40,71.29,31313,385602
2024-10-28,70.57,70.93,68.93,70.72,27999,383677
2024-10-29,71.14,72.07,70.46,71.60,33572,379961
2024-10-30,71.17,71.51,69.26,69.79,25801,377423
2024-10-31,69.80,70.27,67.86,68.90,27403,381074
2024-11-01,68.10,69.28,67.54,68.19,24861,380760
2024-11-04,68.41,70.21,68.32,69.54,25352,380345
2024-11-05,69.78,70.01,68.42,68.62,24661,380625
2024-11-06,68.32,68.51,66.69,68.08,32219,380268
2024-11-07,68.10,70.61,67.97,70.36,30726,377881
2024-11-08,70.57,72.60,70.28,72.34,36730,377527
2024-11-11,71.59,73.12,71.24,71.89,32430,379654
2024-11-12,71.82,72.09,70.08,71.85,33587,377282
2024-11-13,71.44,71.56,69.71,70.63,34369,371081
2024-11-14,71.04,72.78,70.93,72.59,37815,370048
2024-11-15,72.57,73.12,71.07,72.33,32699,367017
2024-11-18,71.60,74.35,71.28,73.83,38344,368896
2024-11-19,73.79,74.15,72.16,72.45,35332,363424
2024-11-20,72.34,73.72,72.21,72.70,27202,363160
2024-11-21,72.78,75.10,72.77,74.31,40130,359378
2024-11-22,74.81,75.28,73.33,73.59,39971,349180
2024-11-25,74.07,75.86,73.56,74.18,32418,346078
2024-11-26,74.02,74.07,72.57,73.55,34264,339732
2024-11-27,73.56,73.70,72.02,72.79,25996,334774
2024-11-28,72.45,73.23,71.85,71.95,25891,332902
2024-11-29,72.17,72.86,71.45,72.72,22283,332063
2024-12-02,72.87,74.46,72.42,73.15,33762,329030
2024-12-03,73.22,73.57,72.17,72.81,29000,323554
2024-12-04,72.33,72.60,71.60,72.18,29531,317900
2024-12-05,72.13,73.01,71.23,71.66,28098,316854
2024-12-06,71.57,73.06,71.24,72.63,29001,309974
2024-12-09,72.87,73.02,70.25,70.69,47092,282208
2024-12-10,70.67,73.04,70.47,72.50,43061,272021
2024-12-11,72.62,73.90,72.23,72.95,43387,250883
2024-12-12,72.85,73.16,69.86,70.42,47624,244224
2024-12-13,70.13,70.93,68.47,68.75,20575,238631
2024-12-16,68.37,68.63,67.05,67.64,6165,236119
2024-12-17,67.28,68.13,66.33,66.54,26962,298481
2024-12-18,66.68,68.03,66.43,67.14,25644,301001
2024-12-19,67.28,70.28,67.06,69.97,34211,297267
2024-12-20,70.13,70.98,69.68,70.48,16854,295576
2024-12-23,70.28,72.43,69.64,71.96,16222,295328
2024-12-24,71.94,72.33,71.34,71.75,6139,294546
2024-12-27,72.03,74.08,71.89,73.84,13792,293957
2024-12-30,73.93,74.34,72.68,74.26,15094,291975
2024-12-31,74.32,75.90,74.18,75.28,14671,290057
2025-01-02,75.83,77.63,74.28,77.47,26454,288343
2025-01-03,77.33,78.63,77.14,78.22,22634,288274
2025-01-06,78.22,78.43,76.08,76.64,25336,290888
2025-01-07,76.84,77.20,75.19,76.32,26269,292105
2025-01-08,76.90,76.90,74.19,74.45,25207,293213
2025-01-09,74.23,75.99,73.83,75.74,26945,293657
2025-01-10,75.67,77.46,74.61,77.13,28395,293931
2025-01-13,77.68,79.51,77.68,79.20,30685,293042
2025-01-14,79.03,79.53,78.03,79.24,23587,293909
2025-01-15,79.53,81.23,79.48,80.26,32737,294142
2025-01-16,80.28,81.03,79.53,80.61,29678,296081
2025-01-17,80.46,82.78,80.08,81.54,33966,297810
2025-01-20,81.28,82.78,80.73,82.27,28308,298121
2025-01-21,82.39,82.70,80.18,82.55,33204,297541
2025-01-22,82.09,82.23,80.76,81.22,26233,298262
2025-01-23,81.50,84.28,81.26,83.04,38600,298028
2025-01-24,83.39,84.01,82.16,83.95,27479,295959
2025-01-27,83.35,83.86,81.28,81.64,29406,295952
2025-01-28,81.83,83.08,80.58,82.54,30648,296177
2025-01-29,83.08,86.08,83.08,85.23,33851,295720
2025-01-30,85.78,86.78,84.53,84.94,29987,296306
2025-01-31,85.18,86.72,84.95,86.21,25637,298024
2025-02-03,86.29,86.50,82.38,83.24,42835,299817
2025-02-04,83.38,84.18,81.76,83.16,33803,300191
2025-02-05,83.28,84.94,82.05,83.40,28077,302392
2025-02-06,83.33,85.28,83.22,84.21,31289,307136
2025-02-07,83.92,84.93,83.39,84.56,21203,307153
2025-02-10,84.98,86.53,84.98,85.22,25919,309021
2025-02-11,85.08,86.45,83.90,84.87,30997,312360
2025-02-12,83.88,84.40,82.33,82.57,31604,314720
2025-02-13,82.53,82.77,80.07,80.33,43332,313902
2025-02-14,79.97,82.21,79.53,82.03,32322,313285
2025-02-17,82.16,82.16,79.08,79.49,26715,313288
2025-02-18,79.01,79.68,76.91,78.02,46051,310867
2025-02-19,77.76,78.54,75.81,76.30,32208,309342
2025-02-20,76.13,76.25,74.54,74.95,42914,309737
2025-02-21,74.88,77.18,74.69,76.18,29690,309194
2025-02-24,76.90,77.27,74.44,75.94,31858,307865
2025-02-25,76.04,76.28,73.43,74.03,31628,308138
2025-02-26,74.06,74.86,72.97,73.30,32840,307467
2025-02-27,73.28,75.81,73.28,75.06,34985,306175
2025-02-28,75.18,75.97,73.04,73.28,27409,305033
2025-03-03,74.08,75.15,73.56,73.83,26455,306181
2025-03-04,73.68,73.94,69.98,70.78,53867,309732
2025-03-05,70.49,71.83,70.35,71.07,40091,309971
2025-03-06,70.54,71.40,69.12,69.60,42508,312131
2025-03-07,69.58,71.73,69.06,70.91,40826,313127
2025-03-10,70.73,72.56,69.93,71.29,37554,318886
2025-03-11,71.04,71.99,69.70,70.52,30833,319989
2025-03-12,69.97,72.09,69.55,71.90,27375,320702
2025-03-13,71.64,74.10,70.82,72.88,37728,321147
2025-03-14,72.70,74.03,71.65,73.27,25075,322745
2025-03-17,72.65,73.27,71.87,72.39,20039,322939
2025-03-18,72.45,74.03,72.10,73.58,31663,326310
2025-03-19,73.78,76.51,73.78,75.72,35852,328614
2025-03-20,76.01,76.47,75.08,75.29,27713,329253
2025-03-21,76.28,76.44,73.51,73.73,26970,330421
2025-03-24,73.58,74.22,73.03,73.80,23883,330494
2025-03-25,73.53,73.88,72.49,72.74,27998,331662
2025-03-26,72.55,74.08,72.16,73.11,30723,331610
